"Unique Id","Call Id","Words"
300,"691154562.0","hi I had to have someone come out and look at the furnace out of juice Lexus week or two I don't even know who actually came to the house to meet him that I'm trying to find a problem I think it was a furnace issue but I need her 448 High Street Annette to try to keep from being purpose has the are set to be you know hi period that the gentleman that it doesn't freeze I can't believe that they haven't closed all of the events already Charles's in this down there and that's it that's in the basement we will great thank you "
301,"691154562.0","hi I had to have someone come out and look at the furnace out of juice Lexus week or two I don't even know who actually came to the house to meet him that I'm trying to fix this problem I didn't think it was a furnace issue but I need her 4248 High Street Annette to try to keep it from being purpose has the air see you know hi period that the gentleman the basement doesn't freeze I can't believe that they haven't closed all of the fence alright Charles's in this down there and that's it well that's in the basement we will wait thank you okay "
302,"691154562.0","the child for their arm and 9 his work so he said it was a perfect exclamation point how that works normally that's what for your area her professor at the desk to Fresno so it's a totally cold it out there's just kind of Ghost Rider and see how that works okay bye bye "
303,"691154562.0","hi sorry I had to have someone come out and look at the furnace out a duplex at 48707 fair to I don't even know who actually came to the house to meet him but I think it was a furnace issue but 4248 High Street Annette to try to keep it from tell me has the air see you know hi period that the gentleman that doesn't freeze I can't believe that they haven't closed all of the events alright Charles's in this down there and that's it Ralph that's in the basement we will start great thank you "
304,"691154562.0","we will "
305,"691154562.0","hi Curran I had someone come out and look at the furnace out of juice Lexus week or two I don't even know who actually came to the house to meet him I'm trying to find a problem I think it was a furnace issue but I need her 448 High Street Annette to try to keep from there has the air see you know hi period that the gentleman that basement doesn't freeze I can't believe that they haven't closed all of the events already Charles's in this down there in it and that's it well that's in the basement we will okay "
306,"691162775.0","early "
307,"691162775.0","thank you so much "
308,"691162775.0","thank you so much "
309,"691162775.0","thank you so much "
310,"691162775.0","okay "
311,"691162775.0","thank you so much "
312,"691857482.0","alright "
313,"691857482.0","alright "
314,"691857482.0","everything's okay "
315,"691857482.0","Harden "
316,"691857482.0","alright "
317,"691857482.0","alright "
318,"691974283.0","I think Darren were thinking of course that was okay "
319,"691974283.0","I know my supervisor I'm here I'm reacting to put them in for you 13 of 2010 that's alright no that was yeah okay I don't have the exact in your asshole okay okay I don't know why it's not an officer here first I can get the girls out there this morning if you have them there 8:30 I'm open he's available pretty much like the whole day so I can get him out there and nice okay the 22nd like I said I will get back to you with an exact price on on the maintenance on those okay so I will I will get back to you O'Reilly Sacramento if you got a second okay "
320,"691974283.0","okay oh my okay alright I'm here I'm reacting to put them in for you 13 of 2010 does that sound that was so yeah okay I don't have the exact to the Sun okay okay alright problem I don't know why it's not a hold it's not in our system here but alright that's better for you like you wanted her to speak now Charles out there Tuesday morning if you have them there 8:30 he's available pretty much the whole day so I can get him out there and nice and firm the 22nd I said I will get back to you with an exact price on the on the maintenance on those okay so I will I will get back to me O'Reilly right after I prefer and then I was just if you had a second okay I think you're okay but I have a back order something else okay "
321,"691974283.0","exactly and then I was just got out of work "
322,"691974283.0","I know my supervisor all right now I'm here I'm reacting to put them in cream 24 girls who knows 2010 that's all no that was there yeah okay I don't have the exact same code okay okay alright I don't know why it's not in our system here but alright she wanted her to snow I can get I can get Todd Charles out there Tuesday morning I can have him there at 8:30 if he's available pretty much forgot the whole game so I can get him out there and nice okay the 22nd but I will get back to you with an exact price on on the maintenance on those okay so I will I will give you see you O'Reilly right it's not fair Peter and then I was just if you're not available leave me a message I will see you on Tuesday for a second okay Dr okay I'll put that in the house yeah we'll catch up but I have a girl "
323,"691974283.0","oh my okay all right now trying to see when we actually put them in for you skeleton of 2010 that's all yeah that was there yeah okay I don't have the exact pricing okay okay bye it's not an officer here but Carl's out there this morning I can have him there at 8:30 he's available pretty much for like the whole day so I can get him out there and nice firm okay the 22nd like I said I will get back to you with an exact price on on the maintenance on those okay so I will I will get back to you alright it's not nice for Sarah and then I was just if you're not available one second okay Dr okay bye I think you're thinking okay whatever "
324,"692278098.0","YouTube bye bye "
325,"692278098.0","Maya Midol simple coming from Easton from you can set up an appointment to have someone come out furnace this is to confirm your part family school now I guess my calendar and I have tomorrow Taco Bell there are per hour if that long Pensacola oh no idea after that is needed you're welcome have a good day you soon bye bye "
326,"692278098.0","bye bye "
327,"692278098.0","YouTube bye bye "
328,"692278098.0","bye bye "
329,"692278098.0","you're welcome have a good day bye bye "
330,"693223565.0","purple purple "
331,"693223565.0","perfect "
332,"693223565.0","Jennifer can I get her to call you back within a meeting like a moment "
333,"693223565.0","okay I forgot to call you back within a meeting at the moment "
334,"693223565.0","perfect thank you "
335,"693223565.0","perfect "
336,"693294291.0","not working "
337,"693294291.0","this is an igloo make you smile our Pharmacy before okay how are you or a little bit hectic I think you're 4 hours in the morning "
338,"693294291.0","this is an igloo make you smile Arthur I had before okay how are you a little bit are you okay thank you bye "
339,"693294291.0","cancel "
340,"693294291.0","this is an igloo make you smile I helped you before I can wrap how are you or a little bit careful thank you bye "
341,"693294291.0","that work "
342,"693335317.0","Jeff good morning I got a problem "
343,"693335317.0","Jeff good morning about a problem "
344,"693335317.0","okay "
345,"693335317.0","good morning about a problem "
346,"693335317.0","alright "
347,"693335317.0","again to find out more like 3 okay I will put it on my way Jeff good morning about a problem "
348,"693516515.0","okay thanks "
349,"693516515.0","okay sounds good "
350,"693516515.0","okay sounds good "
351,"693516515.0","okay sounds good "
352,"693516515.0","okay sounds good "
353,"693516515.0","okay sounds good "
354,"693809167.0","okay "
355,"693809167.0","okay "
356,"693809167.0","okay "
357,"693809167.0","okay "
358,"693809167.0","okay "
359,"693809167.0","okay "
