,Duration,Call Id,Match,mnth_sin,day_sin,hr_sin,mnth_cos,day_cos,hr_cos,type_Current Customer,type_Hang-ups,type_Other,type_Sales,type_Service,status_Answering Service/Call Center,status_Current Customer,status_Disconnected in Progress,status_Existing Customer Prospect,status_Hang-up,status_Left Message/Voice Mail,status_New Prospect,status_Other,status_Referral Prospect,status_Repeat Caller,Words
0,252,747457303,1,1.22E-16,0,0.258819045,0.866025404,0.866025404,0.5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,no 
6,267,1028604229,0,1.22E-16,0.866025404,-0.707106781,0.866025404,6.12E-17,0.5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,every 3 seconds warning thing in the morning or between Perfect Circle call Beverly I don't have a happy New Year 
12,184,1067467985,0,0.965925826,0.866025404,-0.5,-0.5,6.12E-17,0.866025404,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3
18,142,1073905877,0,0.866025404,0.5,-0.866025404,6.12E-17,0.866025404,1.19E-15,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,screwed are planning service this is Raina who make you smile what your mother's name for a gram 432 Huron Street when we get the rewire rice we work on a copy of the house I guess I wondered if she was coming tomorrow for you to check out the knob and tube she has had with that with the quote with pools could you tell me how much that was the computer anymore unfortunately well I am I just wondered cuz she's had a couple of quotes and 
24,309,746642373,1,1.22E-16,0.707106781,-0.866025404,0.866025404,0.5,1.19E-15,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,okay I can 
30,384,1077622354,1,0.707106781,0.5,0.866025404,0.5,0.866025404,-0.866025404,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,the great service Maria speaking how can I make it tomorrow only Auto Shippers pretty and I can forward it on that Electrical Plumbing or electrical calls or whoever is never going to come I can attach it now I can schedule an appointment and then I can attach it to the work order once Linda Coker special so that would be only hardly friend work for you to call me or what type what type of work is like what do you have a nice was there anything else to add 26 + 12 and we have picture it's a it's a little bit and also we we broke the cover and we wish to replace the cover that we bought a whole new fixture and we've got it you know we don't know if it was I can do it so love and you are Sharon r i l l phone number to 519-472-2854 are you are are you are home protective him member of ours so I can get you in sometime next week or any of that the Tuesday and or actually Wednesday the 21st okay first thing between Ohio I will put that in the work order and when our guys are there and you do no problem you know they will get $59 I'll go over everything with the installation so they take 3 seconds pH home service Maria c as in bar he hasn't he hasn't Rama Lee say 
36,152,745885534,0,1.22E-16,0,-2.45E-16,0.866025404,0.866025404,0.866025404,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Services your call is important to us the wine and stay with you cuz I don't have pricing are closed uncle 
41,582,745149624,1,1.22E-16,0.707106781,0.5,0.866025404,0.5,-1.84E-16,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,bumper vasectomy Style okay Play Store poker table or the price correct I'm sorry okay okay contractors surgery my world traveler Mike mark okay Tony uncle you're available program and very short window 
47,220,1029566823,0,1.22E-16,0.5,0.258819045,0.866025404,0.866025404,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,PlayStation Home where's it coming purple concerning a form you can come out today or not but can I get there form you for Farrell's I got the cupboard and can I ask how you heard about it alright so quickly go over how we work I was there are there is a $59 fee and Monday that way to take 6 cash check Visa Mastercard perfect okay bye bye 
53,526,1040088844,0,0.5,0,-0.5,-1.84E-16,0.866025404,0.866025404,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,wait for you to call you between to coordinate a time for tomorrow if possible right okay no problem alright okay okay great alright bye 
59,138,685095572,0,0.866025404,0.5,0.707106781,6.12E-17,0.866025404,-0.5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,162
65,145,1071738458,0,0.866025404,0.258819045,-0.965925826,6.12E-17,1,-0.5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,thank you for calling fine in home service thank you for calling fine in home service this is Karen how they make you smile hello hello you've reached I'm in home service and I help you see her will you looking for them to come out after hours we're looking for them to come during like actual work okay save our to come out after hours it's going to be $149 call it be just for them to come out after hours just for them to come out and then they'll charge you labor and parts so what whatever else race for burgers yes it'll be more expensive for them to come out after hours and if they were to come out during business hours I'm not sure to be honest with you you have reached your answering service so yeah I don't know what their actual regular pricing like to take our and labor it's right up under $949 just right for them to come out no problem bye 
71,332,1029970170,1,1.22E-16,0,0.258819045,0.866025404,0.866025404,0.5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,hi I like to make sure your free part of making over the weekend I think I'll be where the noise coming from on it it was referred hey I heard the moment so I won't stop hey the phone hey I didn't really recall where it is more of that she answer the phone before same Lacey pretty 15083 North five account bruschetta loud like a lot of trouble laptops and I'm running into the show working in the NFL week later one of the fans on in front of your place like that sounds like compared hey this is a moment I can I'm were concerned that last time I left anyways waiting for someone to pick her up Robin Trower as hell so this afternoon probably would not work tomorrow is it snowing over for him hey my dear really really Tuesday I'm available 
77,181,701704499,1,1,0.5,-0.5,-0.866025404,0.866025404,0.866025404,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,okay thank you bye bye 
83,63,1059485520,1,1,0.5,-0.258819045,-0.866025404,0.866025404,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,it is Maria speaking how can I make a smile is Chris Lucy call you again as the system is not resetting or whatever I just went period I've been looking up every once laws and listening to see if it resided never had I just went out there though and all is going out hotter it's on cold and it's just it's just blowing warm air okay alright see what I can do I've got a couple of guys here is the sugar what the problem is give you a call at your home yeah I'll be here the rest of the day I asked you 
89,79,1060020067,1,1,0,0.5,-0.866025404,0.866025404,-1.84E-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Travis money how can I make you smile their eyes a part on order my name as been endorse haven't heard anything or seen anything so I don't know so when is it is it was you yeah I'm not sure I will have them follow up again and see what we have in Phoenix here in the office so I can be sure that the check is going to be the right one which means that I have to order another part and we'd Endor heard anything and he can follow up I'll let you know okay 
95,71,1060717548,1,1,0.5,-0.5,-0.866025404,0.866025404,0.866025404,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Maria how can I make my official and it was just want to see if it's right 15 8th Street North I will double check with Miss pearls I was out there see if he has heard anything from acceptance for prior I will hold you up for the 943-485-6882 know thanks bye 
101,77,698841118,1,1,0.866025404,-0.5,-0.866025404,6.12E-17,0.866025404,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,this is Christine I you guys coming out to my place this morning for new part I didn't work the exact same thing minute call me back 
107,69,1061808956,1,1,0.707106781,0.258819045,-0.866025404,0.5,0.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Jennifer with Maria how can I make it by the Chicago there's a purchase order for me I'm just checking on the status 715 8th Street North guarding your system alright I was checking with Carol to look in their life group I will check with our booth he hurt his back from the supplier and then I guess you at 519-434-8065 thank you 
