,Duration,Type,Call Status,Call Id,Match,mnth_sin,day_sin,hr_sin,mnth_cos,day_cos,hr_cos
0,252,Service,Existing Customer Prospect,747457303.0,1,1.2246467991473532e-16,0.0,0.258819045102521,0.8660254037844384,0.8660254037844387,0.49999999999999933
28,267,Service,Existing Customer Prospect,1028604229.0,0,1.2246467991473532e-16,0.8660254037844386,-0.7071067811865471,0.8660254037844384,6.123233995736766e-17,0.5000000000000004
68,184,Sales,New Prospect,1067467985.0,0,0.9659258262890682,0.8660254037844386,-0.4999999999999997,-0.4999999999999998,6.123233995736766e-17,0.866025403784439
108,142,Current Customer,Current Customer,1073905877.0,0,0.8660254037844386,0.49999999999999994,-0.8660254037844385,6.123233995736766e-17,0.8660254037844387,1.1943401194869635e-15
149,309,Service,New Prospect,746642373.0,1,1.2246467991473532e-16,0.7071067811865476,-0.8660254037844385,0.8660254037844384,0.5000000000000001,1.1943401194869635e-15
166,384,Service,Existing Customer Prospect,1077622354.0,1,0.7071067811865476,0.49999999999999994,0.8660254037844387,0.5000000000000001,0.8660254037844387,-0.8660254037844388
184,152,Sales,New Prospect,745885534.0,0,1.2246467991473532e-16,0.0,-2.4492935982947064e-16,0.8660254037844384,0.8660254037844387,0.8660254037844378
200,582,Current Customer,Current Customer,745149624.0,1,1.2246467991473532e-16,0.7071067811865476,0.5000000000000003,0.8660254037844384,0.5000000000000001,-1.8369701987210297e-16
214,220,Service,Referral Prospect,1029566823.0,0,1.2246467991473532e-16,0.49999999999999994,0.258819045102521,0.8660254037844384,0.8660254037844387,0.49999999999999933
233,526,Service,Existing Customer Prospect,1040088844.0,0,0.5000000000000003,0.0,-0.4999999999999997,-1.8369701987210297e-16,0.8660254037844387,0.866025403784439
252,138,Service,New Prospect,685095572.0,0,0.8660254037844386,0.49999999999999994,0.7071067811865476,6.123233995736766e-17,0.8660254037844387,-0.5000000000000004
271,145,Service,New Prospect,1071738458.0,0,0.8660254037844386,0.25881904510252074,-0.9659258262890681,6.123233995736766e-17,1.0,-0.4999999999999992
294,332,Service,Existing Customer Prospect,1029970170.0,1,1.2246467991473532e-16,0.0,0.258819045102521,0.8660254037844384,0.8660254037844387,0.49999999999999933
307,181,Service,New Prospect,701704499.0,1,1.0,0.49999999999999994,-0.4999999999999997,-0.8660254037844385,0.8660254037844387,0.866025403784439
320,63,Service,New Prospect,1059485520.0,1,1.0,0.49999999999999994,-0.25881904510252035,-0.8660254037844385,0.8660254037844387,1.0
333,79,Current Customer,Repeat Caller,1060020067.0,1,1.0,0.0,0.5000000000000003,-0.8660254037844385,0.8660254037844387,-1.8369701987210297e-16
346,71,Current Customer,Current Customer,1060717548.0,1,1.0,0.49999999999999994,-0.4999999999999997,-0.8660254037844385,0.8660254037844387,0.866025403784439
359,77,Current Customer,Current Customer,698841118.0,1,1.0,0.8660254037844386,-0.4999999999999997,-0.8660254037844385,6.123233995736766e-17,0.866025403784439
372,69,Current Customer,Current Customer,1061808956.0,1,1.0,0.7071067811865476,0.258819045102521,-0.8660254037844385,0.5000000000000001,0.49999999999999933
385,167,Service,Existing Customer Prospect,695344380.0,1,1.0,0.8660254037844386,0.5000000000000003,-0.8660254037844385,6.123233995736766e-17,-1.8369701987210297e-16
398,299,Service,New Prospect,691974283.0,1,0.9659258262890682,0.7071067811865476,-0.4999999999999997,-0.4999999999999998,0.5000000000000001,0.866025403784439
411,184,Service,New Prospect,691857482.0,1,0.9659258262890682,0.7071067811865476,0.5000000000000003,-0.4999999999999998,0.5000000000000001,-1.8369701987210297e-16
424,71,Service,Existing Customer Prospect,1066672637.0,1,0.9659258262890682,0.49999999999999994,-0.8660254037844385,-0.4999999999999998,0.8660254037844387,1.1943401194869635e-15
437,190,Current Customer,Current Customer,744276701.0,0,1.2246467991473532e-16,0.0,0.5000000000000003,0.8660254037844384,0.8660254037844387,-1.8369701987210297e-16
464,224,Service,Existing Customer Prospect,1033230978.0,0,0.258819045102521,0.0,-0.7071067811865471,0.49999999999999933,0.8660254037844387,0.5000000000000004
491,101,Service,Existing Customer Prospect,731004414.0,1,0.5000000000000003,0.0,0.7071067811865476,-1.8369701987210297e-16,0.8660254037844387,-0.5000000000000004
519,379,Service,New Prospect,1030242217.0,0,1.2246467991473532e-16,0.8660254037844386,-0.25881904510252035,0.8660254037844384,6.123233995736766e-17,1.0
612,127,Service,Existing Customer Prospect,742981272.0,0,1.2246467991473532e-16,0.25881904510252074,0.5000000000000003,0.8660254037844384,1.0,-1.8369701987210297e-16
638,579,Sales,New Prospect,742621422.0,1,1.2246467991473532e-16,0.0,0.7071067811865476,0.8660254037844384,0.8660254037844387,-0.5000000000000004
655,175,Service,New Prospect,731232888.0,1,0.5000000000000003,0.0,-0.8660254037844385,-1.8369701987210297e-16,0.8660254037844387,1.1943401194869635e-15
672,161,Service,Left Message/Voice Mail,1047134960.0,1,0.7071067811865476,0.49999999999999994,0.7071067811865476,-0.5000000000000004,0.8660254037844387,-0.5000000000000004
689,243,Current Customer,Current Customer,703730672.0,1,0.9659258262890683,0.8660254037844386,0.7071067811865476,-1.0,6.123233995736766e-17,-0.5000000000000004
706,316,Current Customer,Current Customer,697060650.0,1,1.0,0.8660254037844386,0.7071067811865476,-0.8660254037844385,6.123233995736766e-17,-0.5000000000000004
723,280,Service,Existing Customer Prospect,1069011933.0,1,0.9659258262890682,0.7071067811865476,0.5000000000000003,-0.4999999999999998,0.5000000000000001,-1.8369701987210297e-16
740,152,Service,Existing Customer Prospect,1031499150.0,1,1.2246467991473532e-16,0.7071067811865476,-0.7071067811865471,0.8660254037844384,0.5000000000000001,0.5000000000000004
744,216,Current Customer,Current Customer,1031782317.0,0,1.2246467991473532e-16,0.49999999999999994,0.7071067811865476,0.8660254037844384,0.8660254037844387,-0.5000000000000004
