,Duration,Type,Call Status,Call Id,V_Range,mnth_sin,day_sin,hr_sin,mnth_cos,day_cos,hr_cos
18,285,Current Customer,Current Customer,1033596385.0,1,0.258819045102521,0.8660254037844386,-0.4999999999999997,0.49999999999999933,6.123233995736766e-17,0.866025403784439
40,84,Current Customer,Answering Service/Call Center,1035662249.0,1,0.258819045102521,0.9659258262890682,-0.25881904510252035,0.49999999999999933,-0.4999999999999998,1.0
53,950,Service,Existing Customer Prospect,1048156032.0,0,0.8660254037844387,0.49999999999999994,-0.7071067811865471,-0.8660254037844388,0.8660254037844387,0.5000000000000004
96,697,Current Customer,Current Customer,674503026.0,2,0.7071067811865476,0.0,0.7071067811865476,0.5000000000000001,0.8660254037844387,-0.5000000000000004
110,47,Other,Repeat Caller,674514440.0,2,0.7071067811865476,0.0,0.7071067811865476,0.5000000000000001,0.8660254037844387,-0.5000000000000004
125,582,Current Customer,Current Customer,745149624.0,1,1.2246467991473532e-16,0.7071067811865476,0.5000000000000003,0.8660254037844384,0.5000000000000001,-1.8369701987210297e-16
139,579,Sales,New Prospect,742621422.0,1,1.2246467991473532e-16,0.0,0.7071067811865476,0.8660254037844384,0.8660254037844387,-0.5000000000000004
156,316,Current Customer,Current Customer,697060650.0,1,1.0,0.8660254037844386,0.7071067811865476,-0.8660254037844385,6.123233995736766e-17,-0.5000000000000004
173,280,Service,Existing Customer Prospect,1069011933.0,1,0.9659258262890682,0.7071067811865476,0.5000000000000003,-0.4999999999999998,0.5000000000000001,-1.8369701987210297e-16
190,243,Current Customer,Current Customer,703730672.0,1,0.9659258262890683,0.8660254037844386,0.7071067811865476,-1.0,6.123233995736766e-17,-0.5000000000000004
207,175,Service,New Prospect,731232888.0,1,0.5000000000000003,0.0,-0.8660254037844385,-1.8369701987210297e-16,0.8660254037844387,1.1943401194869635e-15
224,161,Service,Left Message/Voice Mail,1047134960.0,1,0.7071067811865476,0.49999999999999994,0.7071067811865476,-0.5000000000000004,0.8660254037844387,-0.5000000000000004
241,565,Service,New Prospect,691162775.0,1,0.9659258262890682,0.0,-0.4999999999999997,-0.4999999999999998,0.8660254037844387,0.866025403784439
250,448,Service,New Prospect,696910285.0,1,1.0,0.7071067811865476,-0.25881904510252035,-0.8660254037844385,0.5000000000000001,1.0
276,526,Service,Existing Customer Prospect,1040088844.0,1,0.5000000000000003,0.0,-0.4999999999999997,-1.8369701987210297e-16,0.8660254037844387,0.866025403784439
346,519,Service,Existing Customer Prospect,740049880.0,1,0.258819045102521,0.49999999999999994,-0.25881904510252035,0.49999999999999933,0.8660254037844387,1.0
352,309,Sales,New Prospect,728429953.0,1,0.5000000000000003,0.7071067811865476,0.5000000000000003,-1.8369701987210297e-16,0.5000000000000001,-1.8369701987210297e-16
356,515,Service,New Prospect,1068444015.0,2,0.9659258262890682,0.0,0.5000000000000003,-0.4999999999999998,0.8660254037844387,-1.8369701987210297e-16
382,438,Sales,Existing Customer Prospect,717323234.0,1,0.8660254037844387,0.25881904510252074,-0.7071067811865471,-0.8660254037844388,1.0,0.5000000000000004
