Unique Id,Call Id,Words,,
0,659725016,the great day for your service Leah speaking to Lisa smile so I scheduled for Last Friday but it had to be switched to tomorrow the problem is my printer stopped working so I'm wondering if I can get someone else today Louis tomorrow morning how do you with your homies hey sexy so sad I know I'm listening to her room my room I stay with you hi there sorry I fell asleep 4:00 okay so overnight it was off all night and we have three little kids we can't we can't wait yes Murrell actually for you today between 2 and 4 coupon and then because it was shipped it from Friday it was they were going to wait 50 crust so what are we looking at today then so it'll be what super super safe for the service it was 50% off so from 90 down to 50 I want to 40 something and then because they had to move us they were going to waive that for tomorrow but now we're in a situation where we have to see it today I'll send one and then he'll see what kind of response I need to know like so much ,,
1,659725016,what super super site that for the service it was 50% off so from 91 to 50 I want to 40 something and then because they had to move us they were going to waive that for tomorrow but now we're in a situation where we have to see it today so wondering if we've been from then he'll see what kind of response I need to let you know that report so much ,,
2,659725016,the great day for your service Leah speaking to Lisa smile so I scheduled for Last Friday but it had to be switched to tomorrow the problem is my printer stopped working so I'm wondering if I can get someone else today morning singer with your homies hey sexy so sad I know I'm listening to her room my room I stay with you hi there sorry about our super at 4:00 okay so overnight it was off all night and we have three little kids we can't we can't wait today before and then because of shifted from Friday it was they were going to wait 50 crust so what are we looking at today then so it'll be what super super safe for the service it was 50% off so from 90 down to 5140 something and then because they had to move us they were going to waive that for tomorrow but now we're in a situation where we have to see it today sometime and then I'll see what kind of response I need to know like so very much ,,
3,659725016,the great day for your service Leah speaking to Lisa smile so scheduled for Last Friday but it had to be switched to tomorrow the problem is my furnace stopped working so I'm wondering if I can get someone else today Lily we're super 8:30 tomorrow morning I did so nice how do you with your homies hey sexy so sad I know I'm listening to her room my room I stay with you hi there Kyle it's Sue at 4:00 so overnight it was off all night and we have feel okay so we can't we can't wait for you today before coupon and then be sure to ship to some Friday it was they were going to waive the fees press so what are we look yet today then so it'll be what super super site that's for the service it was 50% off so from 90 down to 5740 something and then because they had to move us they were going to waive that for tomorrow but now we're in a situation where we have to see it today so wondering and then he'll see what kind of response I need to know what port so much ,,
4,659725016,the great day for your service Leah speaking to Lisa smile so scheduled for Last Friday but it had to be switch to tomorrow the problem is my printer stopped working so I'm wondering if I can get someone else today we're super 8:30 tomorrow morning finger with your homies he said so sorry I know I'm listening to her room my room I stay with you hi there sorry about 4:00 okay so overnight it was off all night and we have three little kids we can't we can't wait did you in for that coupon and then because it was shipped it from Friday it was they were going to wait 50 crust so what are we looking at today then so it'll be what super super nice 8 that's for the service it was 50% off so from 90 down to 50 I want to 40 something and then because they had to move us they were going to waive that for tomorrow but now we're in a situation where we have to see it today okay so then from then on he'll see what kind of response I need to let you know that report so very much ,,
5,659725016,what super super site that's for the service it was 50% off so from 90 down to 5140 something and then because they had to move us they were going to waive that for tomorrow but now we're in a situation where we have to see it today so I'm wondering and then he'll see what kind of response I need to let you know that report so much ,,
6,662277217,okay bye bye ,,
7,662277217,Gregory thinking how can I make you smile so how are you working boil a hurry right right okay so what exactly is wrong with it leaking or is it okay hurt to the boiler that correct I forgot I forgot the gas or I can certainly a scheduled out and we'll have someone come out and go ahead with her Dallas this crap come on site to crackly work involves give you an accurate price before he start heading work then he will go ahead and make sure you come equipped to go to work I'll be done work for you before let it up okay so I can schedule someone else you want morning or afternoon the partner schedule to call and someone will give you a call momentarily and then they can schedule it for you let me know exactly on time and and I think when we can car is it something that you want it done like right away or yeah no problem that's maker with your personal address Parker I'm sorry capoeira that's not a problem but actually work on the boiler I'm not sure yeah who is he back yet pomelo okay okay Peter V okay your home number please 613-968-5636 how you heard of her recommended someone Peru okay okay no problem looking for her I will have someone give you a call back to let me know an exact date and time if you want this within the couple of like I said before next week or does it matter RG3 we will get a hold of her to come by then okay okay bye bye ,,
8,662277217,okay take your flyer so how are you don't work on boy last hurry right right okay so what exactly is wrong with it leaking or is it okay hurt her water line to the boiler that correct I forgot I just left the gas so I can certainly a scheduled out and we'll have someone come out and go ahead with her okay Dallas this crap come on site to crackly what's involved give you an accurate price before he start heading work then he will go ahead and do the work permit paperwork I'll be done work for you before let it up so I can schedule someone else afternoon Department definitely schedule and someone will give you a call momentarily and then they can schedule it for you looks like we are and and I think when we can come if it's something that you want it done like right away or prefer yeah no problem that's what I heard with your first name it's not hurting I'm sorry that's not a problem to attract any work on the boiler I'm not sure who is he back yet hello okay okay later bye your home number 613-968-5632 and I can call you later system one okay okay no problem looking for her I will have someone give you a call back to let me know an exact date and time if you want this within a couple of like I said lesson for next week or does it matter are you sleeping we will get a hold of you or have her a plumber to come by then okay bye bye ,,
9,662277217,okay take your flyer so how are you working for a hurry right away what exactly is wrong with it leaking or is it okay her daughter took a boiler that correct okay so bad please call me at the gas marketer I can certainly a schedule that and I will have someone come out and go ahead with her okay sour chicken Dallas this crap come on site who will see exactly what's involved give you an accurate price before he start heading work then he will go ahead and do the work permit us to go to work I'll be done work for you before set it up so I can schedule someone else morning or afternoon appointment and someone will give you a call momentarily and then they can schedule it for you let me know exactly on time and and I think when we can come if it's something that you want it done like right away or prefer that's nice yeah no problem that's maker with your personal I'm sorry that's not a problem it's actually work on the boiler I'm not sure who is he back yet pomelo okay welcome to fiber your home 613-968-5636 how you had heard I'm so recommend someone okay okay no problem looking for her I will have someone give you a call back to let me know an exact date and time if you want this within a couple of like I said before next week or does it matter her hair looks pretty cool so we will get a hold of you or shortly after I put her to come by then okay okay bye bye ,,
